"#name","Norwegian-English dictionary"
"#version","2.4.2"
"#wordcount","8440"
"#idxfilesize","164338"
"#creationTime","2009.01.30"
"#sametypesequence","x"
"#description","Copyright: Converted by swaj under GNU Public License; Version: 1.1"
"#sourceLang","Norwegian"
"#targetLang","English"
"abbed","<div class=""article""><div class=""k""><b>abbed</b></div>abbot</div>"
"abbedi","<div class=""article""><div class=""k""><b>abbedi</b></div>abbey</div>"
"abbedisse","<div class=""article""><div class=""k""><b>abbedisse</b></div>abbess</div>"
"abnormitet","<div class=""article""><div class=""k""><b>abnormitet</b></div>abnormality</div>"
"abort","<div class=""article""><div class=""k""><b>abort</b></div>abortion</div>"
"abortere","<div class=""article""><div class=""k""><b>abortere</b></div>abort</div>"
"absolutt nødvendig","<div class=""article""><div class=""k""><b>absolutt nødvendig</b></div>essential, imperative</div>"
"absolutt nødvendig, vesentlig","<div class=""article""><div class=""k""><b>absolutt nødvendig, vesentlig</b></div>essential</div>"
"absorbere","<div class=""article""><div class=""k""><b>absorbere</b></div>absorb<br/>imbibe, absorb</div>"
"absorbere, drikke","<div class=""article""><div class=""k""><b>absorbere, drikke</b></div>imbibe</div>"
"adgang","<div class=""article""><div class=""k""><b>adgang</b></div>access<br/>admission, entry, entrance, access</div>"
"adgang, inngang","<div class=""article""><div class=""k""><b>adgang, inngang</b></div>entrance</div>"
"adjø","<div class=""article""><div class=""k""><b>adjø</b></div>adieu</div>"
"adkomst","<div class=""article""><div class=""k""><b>adkomst</b></div>approach</div>"
"adresse","<div class=""article""><div class=""k""><b>adresse</b></div>address</div>"
"adressebok","<div class=""article""><div class=""k""><b>adressebok</b></div>directory</div>"
"adskilt","<div class=""article""><div class=""k""><b>adskilt</b></div>distinct</div>"
"adspre","<div class=""article""><div class=""k""><b>adspre</b></div>divert</div>"
"adspredelse","<div class=""article""><div class=""k""><b>adspredelse</b></div>diversion</div>"
"advokat","<div class=""article""><div class=""k""><b>advokat</b></div>advocate<br/>attorney, advocate, lawyer, barrister<br/>attorney<br/>barrister</div>"
"affære","<div class=""article""><div class=""k""><b>affære</b></div>affair</div>"
"aften","<div class=""article""><div class=""k""><b>aften</b></div>eve</div>"
"aftens","<div class=""article""><div class=""k""><b>aftens</b></div>supper, evening meal</div>"
"aftens, kveldsmat","<div class=""article""><div class=""k""><b>aftens, kveldsmat</b></div>evening meal<br/>supper</div>"
"agentur","<div class=""article""><div class=""k""><b>agentur</b></div>agency</div>"
"agentur, virksomhet","<div class=""article""><div class=""k""><b>agentur, virksomhet</b></div>agency</div>"
"aggresjon","<div class=""article""><div class=""k""><b>aggresjon</b></div>aggression</div>"
"agn","<div class=""article""><div class=""k""><b>agn</b></div>bait</div>"
"agn, lokkemat, åte","<div class=""article""><div class=""k""><b>agn, lokkemat, åte</b></div>bait</div>"
"agurk","<div class=""article""><div class=""k""><b>agurk</b></div>cucumber</div>"
"akademiker","<div class=""article""><div class=""k""><b>akademiker</b></div>academic</div>"
"akademisk","<div class=""article""><div class=""k""><b>akademisk</b></div>academic</div>"
"akademisk, akademiker","<div class=""article""><div class=""k""><b>akademisk, akademiker</b></div>academic</div>"
"akkumulator","<div class=""article""><div class=""k""><b>akkumulator</b></div>accumulator<br/>storage battery, battery, accumulator<br/>storage battery</div>"
"akkumulator, batteri","<div class=""article""><div class=""k""><b>akkumulator, batteri</b></div>battery</div>"
"aksel","<div class=""article""><div class=""k""><b>aksel</b></div>axis, axle<br/>axis<br/>axle</div>"
"akselerator","<div class=""article""><div class=""k""><b>akselerator</b></div>accelerator</div>"
"aksent","<div class=""article""><div class=""k""><b>aksent</b></div>accent</div>"
"aksent, tonefall, uttale","<div class=""article""><div class=""k""><b>aksent, tonefall, uttale</b></div>accent</div>"
"aksentuering","<div class=""article""><div class=""k""><b>aksentuering</b></div>accentuation</div>"
"akseptabelt","<div class=""article""><div class=""k""><b>akseptabelt</b></div>acceptable</div>"
"akseptant","<div class=""article""><div class=""k""><b>akseptant</b></div>acceptor</div>"
"aktelse","<div class=""article""><div class=""k""><b>aktelse</b></div>esteem, estimation<br/>esteem</div>"
"aktelse, vurdering","<div class=""article""><div class=""k""><b>aktelse, vurdering</b></div>estimation</div>"
