Norwegian,English
abnormitet,abnormality
abort,abortion
absolutt nødvendig,"essential, imperative"
absorbere,"absorb, imbibe"
adgang,"access, entry, entrance"
"adgang, inngang",entrance
adjø,adieu
adkomst,approach
adresse,address
adressebok,directory
adskilt,distinct
adspre,divert
adspredelse,diversion
advokat,"advocate, attorney, lawyer, barrister"
affære,affair
aften,eve
aftens,"supper, evening meal"
"aftens, kveldsmat","evening, meal supper"
agentur,agency
"agentur, virksomhet",agency
aggresjon,aggression
agn,bait
"agn, lokkemat, åte",bait
agurk,cucumber
akademiker,academic
akademisk,academic
"akademisk, akademiker",academic
akkumulator,"accumulator, storage battery, battery"
"akkumulator, batteri",battery
aksel,"axis, axle"
akselerator,accelerator
aksent,accent
"aksent, tonefall, uttale",accent
aksentuering,accentuation
akseptabelt,acceptable
akseptant,acceptor
aktelse,"esteem, estimation"
"aktelse, vurdering",estimation
akter,abaft aft
aktivitet,activity
aktuell,current
"aktuell, strøm",current
albue,elbow
aldeles,altogether
"aldeles, ganske, alt i alt",altogether
alder,age
aldrende,elderly
aldri,never
alene,"alone, solitary, sole, only"
alle,"each, all, everyone, everybody"
Allehelgensaften,Halloween
alltid,"invariably, ever"
"alltid, noensinne, stadig",ever
allé,avenue
alm,elm
alminnelig,"common, general"
"alminnelig, vanlig, felles",common
alt,"everything, all"
alt i alt,altogether
"alt, alle",all
altan,balcony
altmuligmann,handyman
aluminium,aluminium
alvor,gravity
alvorlig,"earnest, grievous, grave grievous"
ambassade,embassy
ambassador,ambassador
ambolt,anvil
analfabet,illiterate
analfabetisme,illiteracy
ananas,pine-apple pineapple
anbefale,commend
"anbefale, rose",commend
anbringe på institusjon,institutionalize
and,duck
"and, dukke",duck
andel,quota
"andel, kvote",quota
andre,second
anelse,"inkling, hunch"
anerkjent,distinguished
"anerkjent, fornem",distinguished
anførselstegn,quotationmark
angi,denounce
angiver,informer
angiveri,denunciation
"angiveri, fordømmelse",denunciation
angrep,attack
"angrep, angripe",attack
angrepet av koldbrann,gangrenous
angripe,attack
ankel,ankle
ankerplass,berth
anklage,"impeachment, incriminate"
anklagebenk,dock
"anklagebenk, dokk",dock
ankomme,arrive
ankomst,arrival
anlegg,gift
anliggende,"business, deal, case, affair, matter"
"anliggende, affære, sak",affair
annen,else
annensteds,elsewhere
annonse,"ad, advertisement"
anrope,invoke
"anrope, påkalle",invoke
anse for,judge
ansette,"employ, engage, hire"
"ansette, leie",hire
ansikt,face
ansikt utad,image
"ansikt utad, bilde",image
"ansikt, stå overfor, tallskive, overflate",face
ansikts-,facial
ansiktsløftning,facelift
ansiktsmaske,facepack
ansjos,anchovy
anspent,"fraught, intent"
"anspent, nervøs",fraught
anspore,incite
ansporende,incentive
anstendig,demure
anstrenge,exert
anstrengelse,effort
anstrengt,constrained
anstrøk,hue
ansvarlig,liable
"ansvarlig, tilbøyelig",liable
anta,"assume, expect, figure"
antenne,"antenna, ignite"
"antenne, følehorn",antenna
antennelig,"ignitable, inflammable"
antikk,antique
antiluftskyts,flak
antrekk,dress
"antrekk, kle seg, kjole",dress
antyde,"infer, insinuate, intimate, hint, imply"
"antyde, antydning, vink, ymte",hint
"antyde, fortrolig, uformell",intimate
"antyde, implisere, innebære",imply
antydning,hint
apotek,"chemist's shop, drugstore"
apoteker,"chemist, druggist"
apparat,apparatus
appelsin,orange
aprikos,apricot
april,April
aquavit,gin
arbeid,"employment, job, work"
arbeide,labour
arbeidsfør,ablebodied
"arbeidsfør, kraftig",ablebodied
arbeidskraft,labour
arbeidslag,gang
arbeidsledighetstrygd,dole
arbeidstaker,employee
arbeidsuførhet,incapacity
"arbeidsuførhet, inhabilitet",incapacity
argumentere,argue
"argumentere, drøfte",argue
arkitekt,architect
arkiv,file
"arkiv, fil, kartotek",file
arm,arm
armatur,fittings
armbånd,bracelet
armbåndsur,"watch, wrist-watch"
arne,hearth
"arne, peis",hearth
aroma,flavour
arr,scar
arrest,detention
"arrest, forvaring",detention
artikkel,item
arv,"heritage, inheritance"
arve,inherit
arvelig,hereditary
arvelighet,heredity
arvestykke,heirloom
arving,"heir, heiress"
askebeger,ash-tray
asparges,asparagus
asyl,asylum
atten,eighteen
attest,certificate
attraksjon,feature
august,August
autentisk,authentic
"autentisk, ekte",authentic
autobane,"motorway, super highway, turnpike"
automat,automoton
automatisk,automatic
av,"for, off"
av vanvare,inadvertently
av-gifte,detoxify
avbetaling,hirepurchase
avbilde,depict
avbryte,"heckle, discontinue, interrupt, disconnect"
"avbryte, holde opp med",discontinue
"avbryte, kople fra",disconnect
avbrytelse,"interruption, intermission"
avdeling,"department, branch, section, compartment"
"avdeling, departement",department
avdrag,instalment
avdød,deceased departed
avfall,garbage
"avfall, søppel",garbage
avfeldig,decrepit
avfolke,depopulate
avfyring,firing
avføringsmiddel,laxative
avgang,departure
"avgang, avvik, avreise",departure
avgangseksamen,finals
avgift,"licence, levy"
"avgift, skatt, pålegge, innkreve",levy
avgjørelse,decision
avgjørende,"crucial, decisive"
avgrunn,"abyss, gulf"
"avgrunn, havbukt",gulf
avgud,idol
avgå,depart
"avgå, dø, avvike",depart
avhenge,depend
"avhenge, stole på",depend
avhengig,"addict, addicted"
avhengighet,dependence
avhengighetsskapende,addictive
avhopp,defection
avhopper,defector
avhør,questioning
avis,"daily paper, newspaper"
avkjølt,iced
avle,engender
avlede,"divert, derive, distract"
"avlede, omdirigere, adspre",divert
"avlede, utlede",derive
avledning,diversion
avleiring,deposit
avlessing,dumping
avling,"crop, harvest"
"avling, høst, innhøstning, høst, høste",harvest
avløp,drain
avmønstring,discharge
avreise,"leave, departure"
avrime,defrost
avsendelse,dispatch
"avsendelse, rapport, ekspedere",dispatch
avsender,sender
avsette,depose
"avsette, vitne",depose
avskaffe,abolish
avskjed,"dismissal, farewell"
avskjedige,dismiss
avskjediget,dismissed
avskjære,intercept
avskoge,deforest
avskoging,deforestation
avskrekkende,forbidding
avskrift,copy
"avskrift, kopi",copy
avskrivning,depreciation
"avskrivning, verdiforringelse",depreciation
avsky,"abhor, detest, disgust, loathe, loathing"
"avsky, vemmelse",loathing
avskyelig,"abominable, beastly, detestable, abhorrent"
"avskyelig, dyrisk",beastly
"avskyelig, vemmelig",abhorrent
avskyelighet,abomination
avslag,denial
avslutning,ending
avslutte,finish
"avslutte, finpuss, slutt, sluttstrøk, oppløp",finish
avslå,"deny, decline"
avslått,rejected
avsløre,disclose
"avsløre, røpe",disclose
avsløring,"disclosure, exposure"
"avsløring, utsetting, eksponering",exposure
avsmak,distaste
avsporing,derailment
avstamning,extraction
avstand,"distance, offset"
"avstand, distanse",distance
avta,"cease, decrease, lessen, decline"
"avta, opphøre",cease
avtale,"accommodation, agreement date, rendezvous, agreement, fix"
avtrykk,"imprint, impress, impression"
avvenning,detixification
avvente,abide
avverge,fend off
avvik,"aberration, deviation, departure"
avvike,"deviate, depart, deflect"
avvikle,liquidate
avvise,"denounce, discredit, flunk"
"avvise, angi, fordømme",denounce
"avvise, gi strykkarakter",flunk
avvæpne,disarm
"avvæpne, nedruste",disarm
avvæpning,disarmament
"avvæpning, nedrustning",disarmament
bacon,bacon
"bacon, flesk",bacon
bad,bath
badebukse,swimming trunks
badedrakt,bathing suit
bagasje,"baggage, luggage"
bajas,buffoon
bak,behind
bak-,hind
"bak-, hind",hind
bakdel,haunches
"bakdel, ende",haunches
bake,bake
baker,baker
bakeri,bakery
bakgrunn,background
bakhjul,"back wheel"
bakk,aback
bakke,hill
baklengs,backwards
baklomme,hip-pocket
baklys,"rear-lamp, rear-light, tail-light"
bakrus,hangover
bakse,"flounder, flop"
"bakse, flyndre",flounder
bakterie,germ
bakteriedreper,germicide
bakterier,bacteria
bakvendt,backwards
"bakvendt, baklengs",backwards
baldakin,canopy
balkong,balcony
"balkong, altan",balcony
ball,ball
ballong,balloon
balltre,bat
"balltre, flaggermus",bat
balsam,balm
balsamere,embalm
bambus,bamboo
banal,"corny, hackneyed"
"banal, forslitt",hackneyed
banan,banana
bande,gang
bane,course
bank,bank
bar,buffet
barberblad,razor-blade
barbere,shave
barberkniv,razor
barberkost,shaving-brush
barbermester,barber
bardun,guy
bare,just
barfrost,black frost
barlind,yew
barm,bosom
"barm, bryst",bosom
barn,child
barndom,childhood infancy
barnebarn,grandchild
barnehage,kindergarten
barneseng,cot
barnslig,infantile
barsk,"bluff, fierce, harsh, gruff"
"barsk, hard, streng, besk",harsh
"barsk, steil, bratt",bluff
"barsk, voldsom, sint",fierce
batteri,battery
bearbeide,adapt
bebo,inhabit
beboelig,"habitable, inhabitable"
beboelighet,habitability
beboer,"inmate, inhabitant"
"beboer, innbygger",inhabitant
bedra,fool
bedrag,"deceit, imposition, deception"
"bedrag, skatt, pålegg, påbud, lureri",imposition
bedrager,impostor
bedrageri,"imposture, fraud"
"bedrageri, svindler, svindel",fraud
bedre,better
bedrift,exploit
bedrøve,afflict
bedårende,adorable
bedøve,drug
befeste,fortify
"befeste, forsterke",fortify
befolkning,population
befri,free
befrielse,liberation
befrukte,fertilize
befruktning,fertilization
begavet,gifted
begeistret,enthusiastic
begeistring,"enthusiasm, exuberance"
beger,goblet
begivenhet,event
"begivenhet, øvelse",event
begivenhetsrik,eventful
begjær,"desire, lust"
begjære,desire
begjærlig,"covetous, hungrily"
begrave,bury
begravelse,"burial, funeral"
begrense,"confine, limit"
"begrense, grense",limit
begrensning,limitation
begunstige,favour
begunstiget,favoured
begynne,"begin, commence, start"
begynnelses-,initial
behag,zest
behage,good
behagelig,easy
"behagelig, rolig, lett",easy
behandle,handle
behendig,adroit
behendighet,dexterity
beholde,keep
beige,beige
beite,graze
"beite, få skrubbsår",graze
bekjentskap,acquaintance
bekk,brook
beklage,"deplore, lament"
beklage seg,grumble
beklagelig,"deplorable, lamentable"
bekranse,garland
bekrefte,"confirm, affirm"
"bekrefte, forsikre",affirm
bekreftelse,confirmation
bekvem,handy
bekvemmelighet,"comfort, convenience"
bekvemt,convenient
"bekvemt, passende",convenient
bekymre,distress
bekymret,concerned
bekymring,distress
"bekymring, bekymre, nød",distress
belaste,incriminate
"belaste, anklage",incriminate
belastning,load
beleire,besiege
belg,hull
beliggenhet,locality
belte,girdle
belyse,illustrate
belyse ved eksempler,exemplify
belysning,"illumination, light"
"belysning, lett, lys, tenne, lyse",light
belærende,didactic
beløp,"sum, amount"
"beløp, nummer",amount
ben,"bone, paw, leg"
"ben, fot",paw
benekte,deny
"benekte, avslå",deny
benektelse,denial
"benektelse, avslag",denial
benk,bench
benklær,"pants, trousers"
"benklær, bukser",pants trousers
bensin,"gasolene, gasoline, petrol"
bensinmåler,fuel gauge
bensinstasjon,"fillingstation, garage"
beregne,estimate
berettige,entitle
berettigelse,justice
"berettigelse, rettferdighet",justice
berike,enrich
berme,dregs
"berme, bunnfall",dregs
berolige,quieten
"berolige, roe ned",quieten
beruse,intoxicate
beruselse,intoxication
"beruselse, rus",intoxication
beruset,inebriated
beryktet,"disreputable, infamous"
"beryktet, skammelig",infamous
berømmelse,fame
"berømmelse, ry",fame
berømt,famous
berøre,affect
"berøre, påvirke",affect
berøve,"deprive, dispossess"
"berøve, fordrive",dispossess
besette,"occupy, take"
"besette, godta",take
besk,harsh
beskatte,assess
beskjeden,humble
"beskjeden, ydmyk, ydmyke",humble
beskrive,describe
beskrivelse,description
"beskrivelse, signalement",description
beskyttelsesbriller,goggles
beskytter,guardian
